"LSOA11CD","index_of_multiple_deprivation_imd_decile","wkt"
"E01000022",2,"MULTIPOLYGON (((547136.9 186216, 547140.2 186168.9, 547214.4 186232.2, 547256.6 186193.7, 547296.1 186216.8, 547315.1 186175.2, 547396.3 186137.6, 547429.7 186112, 547433.8 186043.5, 547356.3 186000.6, 547348.2 185925.9, 547283.9 185962, 547230.1 185903.4, 547171.5 185892.1, 547105 185893.1, 547097.6 185948.2, 547032.8 185939.1, 547039.1 185870.9, 546863.1 185859.1, 546828.4 185889.5, 546957.7 186055.8, 546973.5 186078.8, 547062.4 186160.2, 547097 186238.5, 547136.9 186216)))"
"E01000023",2,"MULTIPOLYGON (((546659.8 186017.4, 546662.3 185968.8, 546713 185975.1, 546727.1 185928.4, 546691 185881.6, 546655.2 185735.1, 546700.4 185708.7, 546704.6 185649.3, 546831.4 185620, 546835.2 185582.5, 546815.2 185550.1, 546702.9 185575.1, 546651 185628, 546644.1 185450, 546407 185502.5, 546181.6 185509.7, 546126.2 185665, 546175.2 185730.9, 546207.3 185774.2, 546269.8 185810, 546276.1 185861.1, 546514.5 185860, 546616 186050.6, 546659.8 186017.4)))"
"E01000024",3,"MULTIPOLYGON (((547105 185893.1, 547171.5 185892.1, 547230.1 185903.4, 547243 185837, 547296.5 185874.5, 547265.4 185839, 547309.8 185802.7, 547294.4 185772.5, 547354.1 185761.9, 547365 185784, 547381 185754.9, 547386.4 185739.9, 547332 185730.2, 547315.5 185647.8, 547279.8 185500.8, 547267.3 185449.8, 547193.1 185459.7, 547112.7 185571.1, 547083.4 185546.8, 547009.3 185660.1, 547115.6 185705.5, 547116.4 185709, 547000 185722, 546894.8 185738.3, 546816 185747, 546873.2 185795.4, 546863.1 185859.1, 547039.1 185870.9, 547032.8 185939.1, 547097.6 185948.2, 547105 185893.1)))"
"E01000025",2,"MULTIPOLYGON (((547115.6 185705.5, 547009.3 185660.1, 547083.4 185546.8, 547112.7 185571.1, 547193.1 185459.7, 547267.3 185449.8, 547248 185371, 547228.8 185300.2, 547033.6 185348.4, 546814.5 185402.5, 546806.2 185404.5, 546644.1 185450, 546651 185628, 546702.9 185575.1, 546815.2 185550.1, 546835.2 185582.5, 546831.4 185620, 546704.6 185649.3, 546700.4 185708.7, 546838.4 185682.4, 546894.8 185738.3, 547000 185722, 547116.4 185709, 547115.6 185705.5)))"
"E01000027",2,"MULTIPOLYGON (((548881.6 190845.3, 548881.1 190802.5, 549000.7 190873.5, 549089.4 190714.1, 549084.2 190584.4, 549071.8 190315.8, 549116.5 190074.8, 549121 189772.3, 548464.4 189672.7, 548481.9 189556.8, 548356.8 189541.8, 548316.6 189498.3, 548250.6 189631.7, 548193.5 189611.1, 548210.5 189373.4, 548385.5 189390.4, 548415.7 189315.6, 548381 189277.7, 548382.2 189216.2, 548342.6 189214.2, 548341.6 189265.7, 548291 189271, 548290.5 189246.5, 548246.9 189235.6, 548162.8 189276.9, 548127 189363, 548143.2 189450.7, 548102.2 189496.9, 548059 189483, 548025.5 189591.5, 547995.9 189590.9, 547947.7 189671.9, 547921.3 189705.3, 547779.4 189669.9, 547718.9 189697.3, 547753.8 189711.1, 547729.3 189779.2, 547618.2 190059.9, 547865.1 190258.1, 547973.4 190348.2, 548453.8 190810.1, 548767.4 191139, 548877.7 191097.3, 548845.7 190846.8, 548881.6 190845.3)))"
"E01000028",2,"MULTIPOLYGON (((547781 189652, 547817.3 189529.4, 547857 189534, 547902.5 189424.4, 547914.9 189386.2, 547933 189322, 547863.8 189316.3, 547835.1 189486.7, 547748 189470.4, 547690 189498, 547676.5 189540.3, 547646.3 189528, 547675.7 189437.9, 547713.5 189390.2, 547662.6 189270.4, 547515.1 189127.6, 547533.1 189227.1, 547536.9 189301, 547510.1 189373.9, 547482.1 189374.1, 547433 189612.1, 547412.2 189680.7, 547519.6 189711.4, 547729.3 189779.2, 547753.8 189711.1, 547718.9 189697.3, 547779.4 189669.9, 547781 189652)))"
"E01000029",4,"MULTIPOLYGON (((547758.7 189426.7, 547815.3 189267.2, 547912.2 189271, 547912.5 189233.7, 547950 189222.5, 547949 189193, 547952.1 189193, 547975.1 189108.5, 548062.4 189106.8, 548062.1 189034.5, 548100.7 189026.5, 548154.2 189026.4, 548371.9 189021.1, 548388 188995.8, 548452 189024.7, 548443.9 188953.8, 548344 188916.1, 548357.8 188845.1, 548397.1 188848.7, 548394.1 188776.6, 548234.9 188749.5, 548114.1 188728, 548079 188930, 548044.6 188924.2, 548044 188793.3, 548058.5 188751.7, 547960.3 188743.2, 547804.4 188626.8, 547778.3 188711.1, 547735.4 188840.8, 547770.7 188886.7, 547921.6 188943.2, 547882.6 189049.4, 547856.8 189093.7, 547813.7 189096.5, 547514.6 189119.7, 547515.1 189127.6, 547662.6 189270.4, 547713.5 189390.2, 547675.7 189437.9, 547758.7 189426.7)))"
"E01000030",2,"MULTIPOLYGON (((547947.7 189671.9, 547995.9 189590.9, 548025.5 189591.5, 548059 189483, 548102.2 189496.9, 548143.2 189450.7, 548127 189363, 548162.8 189276.9, 548246.9 189235.6, 548290.5 189246.5, 548291 189271, 548341.6 189265.7, 548342.6 189214.2, 548382.2 189216.2, 548381 189277.7, 548415.7 189315.6, 548385.5 189390.4, 548210.5 189373.4, 548193.5 189611.1, 548250.6 189631.7, 548316.6 189498.3, 548356.8 189541.8, 548481.9 189556.8, 548466 189263, 548462 189132, 548452 189024.7, 548388 188995.8, 548371.9 189021.1, 548154.2 189026.4, 548100.7 189026.5, 548062.1 189034.5, 548062.4 189106.8, 547975.1 189108.5, 547952.1 189193, 547949 189193, 547950 189222.5, 547912.5 189233.7, 547912.2 189271, 547815.3 189267.2, 547758.7 189426.7, 547675.7 189437.9, 547646.3 189528, 547676.5 189540.3, 547690 189498, 547748 189470.4, 547835.1 189486.7, 547863.8 189316.3, 547933 189322, 547914.9 189386.2, 547902.5 189424.4, 547857 189534, 547817.3 189529.4, 547781 189652, 547779.4 189669.9, 547921.3 189705.3, 547947.7 189671.9)))"
"E01000031",4,"MULTIPOLYGON (((549102.4 189324.6, 548954.5 189063.2, 548889.7 189065.7, 548874.2 188496.2, 548820.8 188489.3, 548667.9 188470.4, 548636.1 188486, 548527.8 188445.3, 548518.6 188384.2, 548490 188379.7, 548499.4 188327.2, 548474.2 188319.1, 548525.1 188147.6, 548538.4 188104.5, 548368.7 188078.4, 548344.1 188167.8, 548279.3 188193.2, 548273.8 188263.2, 548323.5 188307.3, 548131 188267, 548092.5 188321.9, 548166.5 188366, 548202.6 188438.5, 548181.9 188540.2, 548219.7 188573.1, 548210.9 188624.9, 548193.9 188650.5, 548234.9 188749.5, 548394.1 188776.6, 548397.1 188848.7, 548357.8 188845.1, 548344 188916.1, 548443.9 188953.8, 548452 189024.7, 548462 189132, 548466 189263, 548481.9 189556.8, 548464.4 189672.7, 549121 189772.3, 549120.8 189640.2, 549102.4 189324.6)))"
"E01000032",3,"MULTIPOLYGON (((548079 188930, 548114.1 188728, 548234.9 188749.5, 548193.9 188650.5, 548210.9 188624.9, 548219.7 188573.1, 548181.9 188540.2, 548202.6 188438.5, 548166.5 188366, 548092.5 188321.9, 548131 188267, 548323.5 188307.3, 548273.8 188263.2, 548279.3 188193.2, 548344.1 188167.8, 548368.7 188078.4, 548337.4 188075.5, 548312.7 188073.3, 548161.8 188047.8, 548107.1 188033.5, 548091.2 188029.4, 547715.1 187914.5, 547700.2 188007.7, 547764.8 188024.1, 547817.9 188037.6, 547767.6 188214.7, 547701.8 188170.1, 547662.6 188271.9, 547656.6 188376.2, 547655.1 188431.4, 547642.4 188528.7, 547697 188556.9, 547804.4 188626.8, 547960.3 188743.2, 548058.5 188751.7, 548044 188793.3, 548044.6 188924.2, 548079 188930)))"
